SARS-CoV-2_L2FC,padj_SARS-CoV-2
CRYBA2,0.036392744,1
LOC100653515,0,1
ADH1A,0,1
C3orf70,0.05209032,1
GFAP,0,1
LYG2,-0.0779621815,1
HSF5,0,1
RNASEK-C17orf49,0.078746458,1
LOC100631378,0,1
GPR158-AS1,0,1
SLC7A9,-0.1547168518,1
CHRD,-0.0447319424,1
TRPC5OS,-0.0447319424,1
DMRT3,0.0450816015,1
ACSL6,-0.1229957648,1
KLK4,-0.1043192169,1
HLA-DMB,0.133375425,1
TKTL2,0,1
LINC00112,0,1
ABCC8,0,1
HIST1H2BM,0.05209032,1
ADPGK-AS1,0,1
CCDC54,0,1
ELN,0,1
PM20D1,0,1
LCP2,0,1
MMP8,0,1
HIST1H2AH,-0.1258518427,1
GTF2IRD2P1,-0.0883708543,1
SNORA50,-0.0344588366,1
NKAIN3,0.0450816015,1
TRHDE-AS1,0.0302405596,1
SNORD67,0.1377085723,1
SHOX2,-0.0471159124,1
MIR744,0,1
LINC00648,-0.0197030194,1
GTF2H2D,0.012416268,1
SGCG,0,1
LOC285819,0,1
ZBTB16,-0.5034379666,1
SNORD88C,-0.1942813099,1
RAB39B,0.0778540702,1
BSND,0,1
MIR181B1,0.036392744,1
SRRM4,0,1
MIR611,-0.031239275,1
NCKAP1L,-0.0741060696,1
GLIPR1L1,0,1
MIR3607,-0.0897075887,1
MMP23B,0,1
CD79B,0,1
STMND1,0,1
FRMD6-AS2,0,1
OGN,0,1
ZNF33BP1,0,1
SNORD123,-0.2540528356,1
EPHA5,-0.1981406759,1
KLHDC8A,0,1
SNX29P1,-0.1310774035,1
MTRNR2L4,0,1
KCNH2,-0.1717961804,1
LOC100507244,-0.0623012018,1
SLC38A8,0,1
LOC339874,0.0658493811,1
LOC728463,0.1142514156,0.9040654584
C14orf178,-0.153019173,1
C21orf91-OT1,-0.0568665068,1
LOC100130075,0,1
CELP,-0.1258518427,1
MIR4685,0,1
SNORD53,-0.0568665068,1
GLUD1P7,0.0657719633,1
MIR1256,0,1
LOC100499194,0,1
MIR610,0,1
GSC2,0,1
ENPP6,0.0661300831,1
RTBDN,0,1
UBE2F-SCLY,0,1
FGL2,0,1
UNC45B,-0.031239275,1
MIR5693,-0.0428080716,1
GATSL2,0.0701781744,1
CPLX2,0.220541583,1
WDR52-AS1,0.1046301859,1
VTRNA2-1,0.1041604996,1
SNURF,0.0456635501,1
KLK2,0.0450816015,1
PRAME,0.0450816015,1
UGT3A2,0.0450816015,1
C21orf90,0.036392744,1
ZNRF3-AS1,0.0253157068,1
LOC285627,0.0195616224,1
LOC494558,0.0195616224,1
MMP23A,0,1
MIR4689,0,1
CELA3A,0,1
LOC100505918,0,1
MIR1278,0,1
MIR194-1,0,1
MAP1LC3C,0,1
MRC1,0,1
LOC728407,0,1
MBL2,0,1
AS3MT,0,1
FGF19,0,1
PANX3,0,1
TAS2R13,0,1
SNORD114-8,0,1
LINC00637,0,1
LINC00597,0,1
MIR3182,0,1
RFPL4A,0,1
LINC00487,0,1
SP9,0,1
OLIG2,0,1
SYN3,0,1
MPPED1,0,1
LINC00606,0,1
PROK2,0,1
MIR4446,0,1
UROC1,0,1
PPBPP2,0,1
PCDHB19P,0,1
BTNL8,0,1
BRD7P3,0,1
ASZ1,0,1
TAS2R40,0,1
CTAGE15P,0,1
GIMAP4,0,1
MIR875,0,1
LCNL1,0,1
CXCR3,0,1
PIH1D3,0,1
LOC100289650,-0.0183497901,1
WBP11P1,-0.0236434191,1
GOLGA6L10,-0.0304340884,1
THEG,-0.031239275,1
EGFL8,-0.0858181431,1
GPR20,-0.0948997521,1
KL,-0.1043192169,1
SUMO4,-0.1695558979,1
RANBP10,-0.0266070672,0.9428681122
SLC5A11,-0.0015449126,1
ACOT8,-0.0157791841,0.9797966595
FURIN,0.1381849905,1
GORASP1,0.1814414676,0.3009859496
SLC25A40,-0.1290000196,0.8469060307
BAG3,-0.1523226148,0.1942644417
COG6,-0.072421105,0.8422572781
CD99L2,0.1610634833,0.2964122182
KLHDC1,-0.4746645373,1
RPS19BP1,-0.1257122526,0.759936843
SUPT7L,-0.1015847322,0.6289704909
ZNF350,-0.1941160747,0.5960465474
NELFB,0.0821535106,0.8659525797
PLA2G15,-0.2093953974,0.552757982
CRBN,-0.198236991,0.4403806298
LRRC27,0.2479953548,0.6811496544
GPR160,0.1584203216,1
EBNA1BP2,0.2128301245,0.2211184275
RILPL1,0.1280121474,0.6811581048
CEPT1,-0.2148947438,0.3851828176
EXOC4,-0.0409747031,0.8957169719
VTI1B,-0.073090463,0.8762891699
NPFF,0.3035393291,0.6893684267
LINC00176,0.4409269751,1
LAMTOR5,-0.0366741099,0.9346962039
CASS4,-0.4661667908,1
ITPKA,0.0601630836,1
LOC100506385,0.0687153827,0.9447348283
LINC00173,-0.0083358873,1
SRSF9,0.2562455612,0.0549056913
CD24,-0.2189232377,0.2518405725
NTMT1,0.3865620213,0.130359804
YBEY,0.0393779732,0.9422697368
DUSP12,0.0052839914,0.9943005295
RCN3,0.4628769707,0.4385125628
MRPL20,0.1019141866,0.8052809096
VEZT,0.0287457712,0.9325685294
MRPL13,-0.1401804925,0.6844548793
C1orf173,-0.0352155569,1
KRTAP5-8,0,1
IFNA22P,0,1
RBPJL,0,1
LOC100130301,-0.0428080716,1
DLGAP1,0,1
CD48,-0.031239275,1
ITGA11,0,1
FDCSP,-0.1650431509,1
BET3L,-0.1673675014,1
LY9,0,1
LTF,-0.0428080716,1
WFIKKN2,-0.0447319424,1
SNORD1B,-0.031239275,1
NXPE2,0,1
STATH,-0.0447319424,1
FAM228A,0.0456635501,1
A1CF,0,1
BIN2,-0.0750006719,1
SCGB3A1,-0.062629203,1
CD93,-0.1943671298,1
HCN4,-0.0428080716,1
RASGEF1C,-0.0785575908,1
LEFTY1,0,1
USH2A,0.078746458,1
MYO1A,-0.204368618,1
SLC28A1,0.1109175732,1
AWAT1,0,1
ILDR2,0,1
MIR548AN,0,1
TMEM163,0,1
MIR103A2,0.1412309527,1
RPH3A,0,1
SLC7A14,0,1
ZMAT4,0,1
NFAM1,0.4806699848,1
MIR320E,0.0975871893,1
MIR141,0.1842607986,0.8407522868
PLA2G2E,0,1
DACH1,0,1
NOTUM,0,1
DLGAP1-AS5,0,1
OTOF,0,1
SOX10,0,1
LOC440970,0,1
ADAMTSL2,0,1
LOC257358,-0.0001022768,1
C1orf229,-0.0428080716,1
ZAP70,0,1
C3orf80,0,1
TUBB8,0.0028253152,1
SLC10A4,-0.031239275,1
GPR162,-0.029906033,1
KRTAP3-1,0.1526967125,1
ISM1-AS1,0,1
CES5AP1,0,1
POM121L9P,0,1
FGFBP2,0,1
SERPINA7,0,1
UGT1A1,0.1639085905,1
CNR1,0,1
BCAR4,0.078746458,1
STOML3,0,1
ENTHD1,0,1
ALDH1L1-AS1,-0.0568665068,1
ZNF676,0.0916175438,1
EPN2-AS1,0,1
PLA2G12B,0,1
ZNF683,0,1
DRGX,0,1
CST13P,0,1
SEMG2,0,1
LOC100133123,0,1
B3GALT2,0,1
PRR25,0,1
CXorf31,-0.0972415336,1
BLID,-0.0741060696,1
SNORD114-3,0,1
TEX36,0,1
KCNT2,0,1
GLDN,0.0028253152,1
DGCR10,0,1
PRAC,-0.0428080716,1
MIR320B2,0.0195616224,1
NTS,-0.031239275,1
GPR137C,0,1
OR10V2P,0,1
SNORA14A,0.1131173837,1
ZNF177,0,1
ODF3L2,0,1
PRSS48,0,1
RTP1,0.0006952273,1
TTC16,-0.0008149813,1
KLF1,0.0450816015,1
CR1L,0,1
MIR632,0,1
TMEM211,0,1
SAMSN1,-0.084791845,1
LRRC36,0.0829423441,1
SERTM1,0,1
LOC388553,0,1
DNAJC5B,0,1
PRSS1,0,1
TAS2R41,0,1
NR5A1,0,1
C17orf47,0,1
MUC7,0,1
CXorf65,0,1
CAPZA3,-0.0779621815,1
TMEM108,-0.1688510713,1
TRIM10,0,1
PAPOLB,0,1
FXYD7,-0.0568665068,1
PTGES3L-AARSD1,-0.1313890265,1
CYP19A1,0,1
C5orf58,0,1
SLC24A2,0,1
MIXL1,-0.0428080716,1
MROH9,-0.0447319424,1
ADAMTS9-AS2,-0.0941190206,1
MIR601,0.1399734625,1
SFRP4,0.1012231086,1
GDF10,0.0456635501,1
PTPRT,0.0456635501,1
ZIC1,0.0456635501,1
MIR3127,0.036392744,1
KCNA10,0.0195616224,1
SVOP,0.0028253152,1
SLC7A10,0.0011986614,1
PRAMEF22,0,1
CSF3R,0,1
AGBL4,0,1
MIR760,0,1
LPPR4,0,1
LOC100128787,0,1
MIR5087,0,1
LCE3A,0,1
TTC24,0,1
FMO1,0,1
LRIT1,0,1
NELL1,0,1
SLC22A8,0,1
THRSP,0,1
TRIM49C,0,1
CLEC4E,0,1
A2MP1,0,1
GRIN2B,0,1
NR1H4,0,1
LOC144742,0,1
ATP4B,0,1
TBPL2,0,1
OTX2,0,1
CCDC175,0,1
GSC,0,1
RLBP1,0,1
SSTR5,0,1
C16orf90,0,1
UMOD,0,1
DPEP3,0,1
CLEC10A,0,1
KRT18P55,0,1
CCL7,0,1
C17orf102,0,1
FCER2,0,1
F2RL3,0,1
ZNF729,0,1
PRODH2,0,1
RNU6-66,0,1
MIR99B,0,1
CIB4,0,1
SIX3,0,1
NAT8B,0,1
LRRTM4,0,1
LOC285000,0,1
C1QL2,0,1
CXCR2P1,0,1
MOGAT1,0,1
ADAM33,0,1
CST7,0,1
COX4I2,0,1
HMGB3P1,0,1
OCSTAMP,0,1
KRTAP19-3,0,1
KRTAP19-5,0,1
KRTAP20-1,0,1
OLIG1,0,1
DSCR8,0,1
KRTAP10-4,0,1
SEZ6L,0,1
RFPL1,0,1
C22orf42,0,1
LOC100506241,0,1
MIR5193,0,1
CADPS,0,1
SYNPR,0,1
HHLA2,0,1
NR1I2,0,1
AGTR1,0,1
LOC402160,0,1
GABRA4,0,1
SLC25A31,0,1
ADCY2,0,1
PRLR,0,1
SLCO6A1,0,1
EIF4E1B,0,1
TFAP2B,0,1
PRDM13,0,1
TBX20,0,1
FLJ45974,0,1
ST7-OT3,0,1
MIR4469,0,1
POTEA,0,1
SBF1P1,0,1
GML,0,1
FRRS1L,0,1
NRON,0,1
C9orf106,0,1
P2RY8,0,1
AMELX,0,1
MAGEB4,0,1
OTC,0,1
SSX1,0,1
AKAP4,0,1
ZCCHC5,0,1
LOC100129520,0,1
DCAF12L1,0,1
RBMY3AP,0,1
AVPR1A,-0.0008149813,1
ZSCAN10,-0.0428080716,1
CHRNB3,-0.0428080716,1
DDX11L5,-0.0428080716,1
CELA3B,-0.0568665068,1
SNORD116-15,-0.0785575908,1
HOXC10,-0.1043192169,1
KCNH4,-0.1688510713,1
RDH12,-0.0745586385,1
HSBP1,0.0321086872,0.912779733
OR2W3,0.066837625,1
SNORD116-20,-0.0432566582,1
LYZ,-0.0484323645,1
ILK,0.1666553533,0.4058378223
MIR4263,0.0006952273,1
CHRM4,0.0701554129,1
ZNF503-AS1,0.05209032,1
LSM6,-0.0017014654,0.9977878014
NDUFAF4,-0.2371047356,0.6284929476
LOC338817,-0.0117793865,1
SAMM50,0.0083584479,0.9808120618
FAM118A,0.0251761988,0.9687679773
IDI2,0.0393854027,1
P4HA2,0.1374108763,0.6344822092
RNPC3,-0.471165104,0.0639907598
FAM195B,0.1407266047,0.8392153916
SAP130,0.0831185461,0.780100326
TMEM43,0.1396727643,0.4924259856
C2orf42,-0.0281459934,0.9551133559
GJB5,0.0965335729,0.6755524951
ABCC6,0.1126726137,1
RIOK2,-0.1535935933,0.6811496544
SAP30,-0.2430350361,0.4043603069
CDH15,0.0265879347,1
ARGFXP2,0,1
ANP32A-IT1,0.0076912957,1
DNAJC27,-0.2219046738,0.6974798349
CBWD1,0.0680796907,0.8502384197
PNRC2,0.2713002874,0.4753920806
RTFDC1,-0.0439762103,0.8606391784
ZXDC,0.1206739579,0.6471842612
ATG10,-0.1251809034,0.8687732458
RHPN2,-0.0470618194,0.9145780562
UCHL1,0.0973135277,0.8638460658
FAM66B,-0.1643312071,1
ZRANB1,-0.096237768,0.703805236
ZNF202,0.0620070757,0.8948516148
ZNF204P,-0.1778247344,0.6753755375
NRF1,0.2198295997,0.5314358284
SLC9B1,-0.1008057162,1
ERP44,0.0376838691,0.891088257
ZNF678,-0.436433147,0.3976914358
FAM229B,-0.1142124895,0.89038159
LEF1,0.0038217892,0.9969893112
FLJ27354,0.1021484744,1
MIER2,0.1452167381,0.7703345972
GET4,0.0922875026,0.7551063024
RIC8B,0.0130238062,0.9802686554
ACOT11,0.0595662829,0.9315757617
LYPD2,0.0278397009,1
RAMP2-AS1,-0.0114274896,1
ATAD3C,0.252045258,0.7500279342
KEAP1,0.1236119908,0.5908597715
COL8A2,0.0918886306,0.9291777413
CIDEC,0,1
LYRM4,0.0655506102,0.8799056555
L3MBTL1,-0.1464913885,0.8598001167
MILR1,0.3310565458,1
PCDH12,0.4111075793,0.5282413674
PLOD3,0.1718963402,0.5323021302
C3orf14,-0.3738414017,0.3756928781
KCTD16,-0.0351284069,1
SLC22A14,0.4221842793,1
SMA4,-0.0058994558,1
TECTA,0.0855747186,1
ZNF223,-0.0521966107,0.9265442048
HIST2H2BC,0.0839203894,1
LHFPL4,0.01646143,1
KLF17,0.125240138,1
TRPC1,-0.1291222385,0.8210805183
PRSS21,0.196209503,0.8037561758
CDKL1,0.0732243932,0.9389671265
ZNF772,-0.2046591304,0.606463953
RASGRF1,-0.5067969805,1
PSMD9,0.2020025914,0.4063006107
BRD9,0.1788976653,0.33682239
SNAPC2,-0.0219404972,0.9795462453
SNORA39,-0.0285401148,1
CYTH4,0.0640917155,1
CTSL1,0.0337818824,0.9212049727
KARS,0.1228170852,0.6024255628
REXO4,0.17354965,0.4018962907
SNORD5,-0.1536036815,1
FBXW10,0.0622538916,0.9530926846
VPS8,-0.2495845466,0.3036752573
IGFL2,0.1533661842,1
HECTD2,-0.1937428316,0.7500279342
PCGF6,-0.1556226756,0.8576304547
TNS3,0.1174454801,0.6772193074
DCAF17,-0.3567524976,0.1814909309
TBL1XR1,-0.2738125429,0.225023043
TNFSF11,-0.2264784942,1
SLC5A5,0.1290559823,1
SH3GL2,0,1
TMEM168,-0.3348615643,0.1539091043
NOS3,-0.1170878653,1
AKR7A2P1,-0.0779621815,1
CRLS1,-0.3111659731,1
PDHX,-0.0300239929,0.9404898355
ZSCAN9,-0.0919069429,0.8648713207
ARPC3,0.1480971216,0.3052648023
KLHL25,0.3890238968,0.3252109929
IGFL3,0.2225504709,1
GPX7,0.2389517984,0.77195537
RBM34,-0.0286214927,0.9431158845
USP2,-0.0791269277,0.9271773949
CCDC92,-0.0110031301,0.9798748755
LOC100133331,-0.0021896468,0.9984226768
C6orf120,-0.2423615674,0.3698982606
FGL1,0.0661300831,1
LINGO1,0.1973652101,1
C3orf43,-0.0428080716,1
LOC731424,-0.0428080716,1
IL19,0.3597709372,1
OVCH1,0,1
DHRS4L1,0,1
SLC8A1-AS1,0.0195616224,1
KRTAP1-1,0,1
LOC100506497,0,1
PKD2L1,-0.0428080716,1
ZNF568,0.1030045483,0.8560888539
EIF6,0.1799214493,0.3152315482
AP3S1,-0.5181844846,1
ZNF334,-0.1235271093,0.7886516862
SIGIRR,0.2549879705,0.7266485713
UNC79,-0.2068427431,1
ZNF282,0.0479496027,0.9325685294
FAM47E,-0.1361506583,1
CSK,0.1639222928,0.6290098304
MYB,0.0862123125,1
TRIM67,0.036392744,1
CDK16,0.2197659812,0.1048201545
DCTN6,-0.1329715042,0.6327298996
LRRC34,-0.4994062151,1
CSF1R,-0.6064059218,1
SLC17A9,0.4910394819,0.4264829811
TMC3,0,1
THAP5,-0.3019553317,0.5498000884
LOC100128252,-0.3356030493,0.4662108277
SRCAP,0.1396780551,0.4336906841
CD99,0.3465027079,0.0711394796
C2CD5,-0.1036734283,0.8465022349
FLJ12825,0,1
NCBP2,0.0530399702,0.8485051904
TMEM190,-0.0236434191,1
TMEM70,-0.0148658407,0.9884345849
ZNF585A,-0.2491158619,0.5325807614
KRT33B,-0.1319302399,1
CHODL,0.0383569585,1
GOLGA8B,-0.3844219584,0.1539504637
TOM1L1,0.0881403468,0.7463033918
SOD1,0.1749775907,0.4933079068
ACAA2,-0.1106773176,0.855484044
MIR4740,0,1
LOC90499,0.0129244493,1
LOC641367,0,1
ST18,-0.1035724718,1
CLHC1,-0.2392085505,0.7046032872
HDHD1,-0.0440694039,0.9078128045
LOC100270804,-0.3405363499,0.6255262592
APOC1,0.0888165982,0.930153962
TPI1,0.1233571626,0.4240303658
ZNF700,0.0844242478,0.8850802499
RRAGD,-0.4772884284,0.2356611183
LOC285540,-0.0508922525,0.9611179573
CYBA,0.1864982492,1
FUNDC2,0.1120967001,0.6764759792
ASB1,0.2539917532,0.2868917894
FGFBP3,-0.1899572714,0.8311042037
ETFDH,-0.1527830492,0.5708353988
C12orf5,-0.09553202,1
BLVRB,0.0528215649,0.9016079707
BARX1,-0.0047295156,1
PF4V1,-0.087101211,1
HBA1,-0.143896547,1
LY96,-0.3877714229,1
MRPS30,-0.0272327295,0.9728496862
ZHX1-C8ORF76,-0.2084861103,1
SEPSECS,-0.1380863871,0.8512450029
ASAH1,-0.2168241375,0.1307215408
GTF3C6,-0.1311475575,0.728191917
TCEANC,-0.5165184947,0.3533490164
RMDN3,0.0225357779,0.9642208469
PSMF1,0.1938510339,0.346715716
PLEC,0.1751674243,1
ZNF93,-0.237454688,0.6408583724
APTX,0.003898785,0.9937441724
SPATA13,-0.4441722896,0.4164311073
CCDC90B,-0.1909241152,0.3765453808
UBA1,0.1866208707,0.1741249926
PAK1,-0.1008897013,0.6443466202
DLGAP4,0.2058129932,0.3581268604
ECT2L,-0.2381644848,1
ANKRD61,0.1587843501,1
CENPP,-0.6193719605,0.1294580854
MYO15A,-0.3646385738,0.606463953
C9orf78,-0.0369022014,0.902643382
PA2G4P4,0.0315947869,1
ZNF665,-0.0696027081,0.9357780686
CATSPER3,0.2774172146,1
AP1B1,0.1021313994,0.7437820465
GPR143,0.2039711957,1
UCHL5,-0.1542094646,1
ELTD1,0.0427830031,1
TIMM10B,-0.1426682762,0.608890273
IFNLR1,-0.0007888568,0.9989807717
ZNF320,-0.1925814457,0.5807310556
SPCS1,-0.0095273569,0.9808120618
FUCA1,-0.1149832622,0.728191917
C14orf159,-0.0510296948,0.8893085969
KC6,0.2052716175,0.8053763539
ITPK1,0.1043259762,0.7588859547
ABCA6,0.1769425502,1
ANKHD1,-0.4927030691,0.3666567606
PCDHB10,0.0354533749,1
LOC728743,-0.1302953992,0.8573998866
SUPT3H,-0.1162914177,0.8676980375
CCND1,0.0413201974,0.887742263
CCDC137,0.0595866854,0.8660185328
C1RL,0.1065269452,0.7052292516
ATXN3,0.1187406796,0.8083150618
ZNF746,-0.0680731345,0.8676386829
IQCD,0.0196259291,0.986552987
SLC25A19,0.3899617922,0.4385125628
LOC642361,0.0084901686,0.9943267095
HIST1H2AL,0.0195616224,1
LOC286297,0.0181416675,1
ACOX1,0.0583707594,0.8289847375
PSTK,0.1740773034,0.8307834645
ENO1,0.2340491083,0.109328586
MED15,0.1568799787,0.6103598141
LOC100505738,-0.1351429787,0.8395585971
ELAVL2,-0.6014075529,0.2614257748
RNF144B,0.0456618399,1
TMEM8A,0.1554729865,1
MTF2,-0.0544535259,0.9072823955
GLUD2,-0.2001120372,1
CDKN2AIPNL,-0.0795882533,0.8752817645
IL17RB,-0.055300633,1
THSD7B,0.082975009,1
SKP1P2,-0.0114274896,1
PDXDC2P,-0.1662384065,0.6902845523
ABCA11P,0.3635347998,0.5807310556
ZSWIM8-AS1,0.0677115805,0.9461112272
RGCC,-0.543378921,0.2402502689
ITGB1BP1,0.1188331785,0.7052292516
MRPS35,0.0793840935,0.8485387246
NR1I3,0.0740922984,1
HS6ST2,-0.1537130081,0.703805236
CCDC102A,0.0862166097,0.9212049727
SUMF1,0.0250001752,0.937085018
HRASLS,-0.1498820299,0.8752817645
CCDC28A,-0.2364690409,0.5542305883
CSF2RB,0,1
FMO2,-0.2200036284,0.7949048138
FLJ41200,0.0450816015,1
SELP,-0.2584354138,1
UBE2O,0.1865217849,0.4653451599
ANO2,-0.6231112002,1
ZC3H4,0.0068375066,0.9884345849
PTBP2,-0.4534011324,0.2334350885
KDR,0.2255673966,1
GPRC5D,0.1046301859,1
MOSPD3,0.0390546562,1
SCNN1G,0.2624148017,0.6558778393
KDM5B-AS1,-0.1014568814,0.8763646235
SLC27A3,-0.0039873736,0.9959357426
SLC8A3,0.0903601693,1
SOWAHA,-0.0114274896,1
HCK,0,1
ANGPT1,-0.2473054314,1
SRSF4,0.0525272241,0.7946842106
ACMSD,0,1
MIR4666A,0,1
SLC35D3,0,1
NACAP1,-0.0250781688,1
LMAN2,0.1372677745,1
DBNDD2,0.4051498094,1
UBA3,-0.0540059575,0.8882037921
CCDC97,0.0750940334,0.855484044
OR7D2,-0.0194666914,1
SNORD9,-0.1158630432,1
CMA1,0,1
LOC100129534,-0.0977076226,0.9178571678
EIF1B-AS1,-0.2836027445,1
KCNQ5,-0.0239071527,0.9744691196
DCUN1D2,0.0623799311,0.9324642008
SLC25A46,-0.2535986418,1
MFAP5,0.0576091443,0.9163114003
SNORA67,0.3287494258,0.6511657734
LOC284009,0.2691174369,1
HAAO,-0.1182400482,1
CYP17A1,0,1
LOC100131089,-0.0348518452,0.974176611
CDIPT,-0.0195564445,0.9718386317
ZMYM6NB,-0.0299795892,0.9708133384
MIR1204,-0.149549931,1
TUBB1,-0.143896547,1
EXOC2,0.1264451225,0.6409771263
WIPI2,0.1062237411,0.7536190137
DCAF13P3,-0.0673246888,1
RAP1GDS1,-0.0901027035,0.7843567304
SNORD50B,-0.2591693335,1
SNHG6,-0.0362645607,1
LY6G5C,-0.0040397146,0.9969893112
PCDHGA3,-0.0651253538,1
AGPAT4-IT1,-0.0288453903,0.9798748755
TIMM50,0.0188811748,0.963732302
EXOC7,0.0514483018,0.8234383423
RNF125,0.0014804233,0.998851413
SRP68,0.0183662301,0.9592616098
ATXN2L,0.0445265956,0.8510088543
CHCHD5,0.3635282711,0.3973722509
SMG6,0.0704447643,0.7705249151
LSM12,-0.3642903237,1
MIR630,0.036392744,1
PPIL3,-0.127746586,0.7432496183
HIGD2B,0.078746458,1
NHSL1,-0.0492128638,0.883083881
SDF2,0.1825474026,0.4915522783
WTAPP1,0.4812327476,0.4259911969
STAG3L4,-0.0353176434,0.9568379941
GMPPB,0.2460242006,0.4115182579
TMEM185B,0.0056103351,0.9897766093
ANAPC13,-0.4135695712,0.130359804
PACRG,-0.0225221461,1
TLR5,-0.2539192257,0.6809968041
FCHO1,0.024186564,0.9808120618
IPP,-0.386914863,0.1583609526
BCAP31,0.1381396898,0.4703171615
SCEL,0.2365402825,0.3187569067
CLIP4,-0.1551825959,0.4371613947
GNB5,-0.122021387,0.7522938136
VPS16,-0.0259483091,0.9602782371
LINC00654,0.0858045821,1
TTC7A,0.1841052734,0.3498637723
SPAG7,0.2448116738,0.1029357202
COL4A2,0.0385059974,0.9325685294
TMEM238,-0.3006383324,1
PHACTR1,0.384386872,1
DNAJC1,0.0398959153,0.9322784713
RPL27,-0.0273800521,0.937085018
PSMD8,0.2420009984,0.0612116545
BRE,-0.0015107088,0.9972667958
PCDHGB1,0.3768593521,1
FASTKD2,-0.000259098,0.9997732213
AQPEP,-0.2519848925,1
MESP1,-0.12409212,1
TMSB10,-0.0343553306,0.9288909284
TMEM136,-0.0018993906,0.9988104098
GPC1,-0.0804403435,1
METTL12,-0.4101249214,0.5338041394
ARL15,-0.3118435569,0.4369310969
GAB2,0.2498667948,0.2520761029
SCD5,-0.3082391518,0.0809913122
PIGL,-0.0151134682,0.9829908697
ARHGEF11,-0.0303539854,0.9333865432
PTPDC1,0.1714215036,0.6821040893
C6orf48,-0.0371220515,0.9029855279
CRTC3,0.0619182063,0.8924304963
FAM196A,0.0116999849,1
STXBP6,0.0458085902,1
CAB39L,0.0112882688,0.9863966479
ANXA2P1,-0.311975512,1
FETUB,0.0614117655,1
ZNF230,-0.0028223522,0.9972667958
FKBP1AP1,0.0195616224,1
SLC22A5,-0.0305470666,0.9431158845
TARBP1,0.1716151531,0.6031594878
LPP-AS2,-0.3617307262,1
CDKAL1,0.0985400667,0.7944436306
FKBPL,0.2475444625,0.5600967727
SLC13A4,-0.0929801052,1
XK,0.4501942894,1
PCIF1,0.0935736326,0.8293902892
FAM186B,0.0108944337,1
NRDE2,-0.0910688248,0.798089319
COX7A2L,-0.1079537505,0.7040179962
SNRNP48,-0.2410306104,0.6087423234
KIAA2013,0.0085563942,0.9874077662
RPS27L,-0.1279436465,0.7734960088
FAM131C,-0.1506988917,0.8646167176
FRG1B,-0.1635161272,0.7522938136
SCIN,-0.2624194046,1
XPO6,0.1825912047,0.163271159
FBXO3,-0.0583725394,0.8841801518
MRPL39,-0.2085083512,0.3187569067
NPAS1,-0.1805672458,1
ZNF181,-0.1799271864,0.7669004011
ATPAF1,-0.2198942211,0.3647112768
HARS2,0.0628193682,0.8510088543
ZNF808,-0.3146893482,0.5085912396
GJA3,-0.2552213324,1
STAG3L1,-0.0623012018,1
FAM157A,0.1382766949,1
GUCY2D,-0.1891633229,1
HDDC2,0.1999396146,0.4936794606
LOC100132273,-0.0318529499,1
TRABD2A,0.2278856558,1
IRX4,0.0314162043,1
CDH20,-0.0447319424,1
RNF150,-0.2526396419,1
CCR1,0,1
PSPN,0.0026810379,1
KHNYN,0.1022959652,0.5069111293
SMAGP,0.0808479024,0.7889415849
PIH1D1,0.1536184295,0.6880070703
CLDN17,0,1
WDR70,0.0082687158,0.986552987
TCEANC2,-0.1682902271,0.6500446732
NTF4,-0.1319571178,0.7522938136
ATPIF1,-0.1825846547,0.4377673478
TMEM150C,-0.0063262232,0.99537126
KLRC2,0.1157643153,1
SNORD78,0.1338000227,1
CLLU1OS,0.1245807525,1
TMEM52,0.1286248721,1
NDUFB3,-0.1006117045,0.8271537134
PPP2R5C,-0.104014782,0.6246503327
DHX40,-0.1929025404,0.4402920755
BAI1,0.1652693923,0.8588712596
MC1R,-0.0974807729,0.9217435796
TMPRSS6,-0.021916672,1
NAPB,-0.0554073013,0.9084938363
DNAJC22,-0.1050699061,1
PRDX3,-0.1343488719,0.7330644212
WRB,-0.0611551206,0.9211238013
PDIA3P,-0.2073298854,0.7522938136
WISP2,-0.1031013864,1
PPP2R3A,-0.2311513398,0.4502574775
MIR4258,0.0781204616,1
SNORD89,-0.0803975556,0.9384414788
ST7,-0.1019390824,0.8353137483
MCMDC2,-0.2910590265,1
FLJ35390,-0.4314721686,1
COL4A6,0.0738688507,0.7457167117
FZR1,0.1952652331,1
C6orf57,0.0747645084,0.89038159
ATP6V1E1,-0.1174927108,0.6821040893
BEST2,-0.0785575908,1
ABCD2,0.0721669357,1
CHRNG,-0.1425519852,1
ARHGDIG,0.0263296082,1
USP50,0.0456635501,1
ENPEP,-0.0972415336,1
PCDHGB2,0.0207437859,1
LINC00592,-0.1949452394,0.827419584
WDR46,0.2517528323,0.278119883
HOXB8,0.0483665442,1
FITM1,0.01646143,1
FAM71E2,0.0585467751,1
MYO1D,-0.0155420326,0.9568907438
TMA16,-0.0772048502,0.8478721324
SNORD56,-0.0140213301,1
SLC13A3,0.179315002,0.75920843
LOC154761,-0.0997476021,1
SNORD25,-0.110668142,1
DCTD,-0.0050687641,0.9918114047
ZNF548,-0.2083355222,0.5342736564
BIVM,-0.2727489947,0.6142869636
ZNF443,0.0183831915,0.986552987
GJA1,-0.1283099345,0.4973259245
GIMAP8,0.01646143,1
LRRC8D,0.0222617541,0.954237321
CBR4,-0.237407872,0.422461911
AHI1,-0.0939080942,0.8893085969
