IAV_L2FC,HPIV3_L2FC,RSV_L2FC,SARS-CoV-2(Calu-3)_L2FC,SARS-CoV-2(A549)_L2FC,SARS-CoV-2(A549-ACE2),SARS-CoV-2(A549-ACE2)-Ruxolitinib_L2FC,padj_IAV,padj_HPIV3,padj_RSV,padj_SARS-CoV-2(Calu-3),padj_SARS-CoV-2(A549),padj_SARS-CoV-2(A549-ACE2),padj_SARS-CoV-2(A549-ACE2)-Ruxolitinib
NLRP3,0,0.202616284,0.93603489,3.46907,0.48319,1.270065095,0.161262147,1,1,1,9.38E-19,1,1,1
IFIH1,0.25825,5.393097942,4.827342463,3.98547,1.17172,4.844501969,0.83003153,0.781824707,2.10E-44,1.64E-51,6.10E-267,1.28E-16,1,0.002435637
DDX60,-0.07604,3.980107556,3.564912159,2.9216,1.49512,3.632200708,0.767820755,0.931482561,5.34E-16,9.56E-13,1.47E-61,8.93E-24,2.97E-68,0.005149897
HERC5,0.59598,4.948283067,4.297270595,3.31849,0.13441,3.79949334,0.142638864,0.223569515,5.55E-82,5.60E-108,1.60E-119,0.235634517,1.17E-97,0.564847741
DDX58,0.55225,4.770332202,4.162660079,2.75091,0.75522,4.14203415,1.260946222,0.280908882,5.46E-51,6.97E-48,7.30E-93,7.48E-12,6.03E-212,1.17E-27
DHX58,1.64849,4.052199117,3.86548086,2.83898,0.20871,2.843267746,0.983752547,0.00499061,5.60E-20,1.62E-15,3.52E-131,1,1.21E-08,1
PARP9,0.3688,3.406723002,2.930392325,2.41131,0.35965,2.717373231,-0.505590566,0.465270104,5.50E-20,4.66E-19,1.01E-75,5.48E-05,1.99E-116,0.041673145
DTX3L,0.16651,2.795920078,2.659146242,2.52741,0.88758,1.922029099,-0.74016574,0.736493179,2.21E-15,2.13E-14,1.38E-120,1.71E-36,1,2.15E-08
IFIT5,0.30646,2.504371739,1.892666018,2.80386,0.40013,2.102888934,0.797233758,0.629272576,7.89E-26,1.43E-28,3.34E-82,6.73E-05,3.82E-87,1.03E-11
NLRC5,-0.86536,2.722864205,3.653763381,3.79582,-0.34188,3.212543759,-0.479005852,0.181324356,2.52E-19,1.19E-67,6.42E-84,0.039515941,5.74E-65,0.157347549
ZC3HAV1,0.40217,1.836455378,2.012129279,2.4096,-0.29804,1.100498975,0.187646723,0.419596118,2.25E-15,2.18E-23,3.38E-134,0.019009893,1.10E-18,0.008557447
APOBEC3G,0,1.790801465,1.159364357,2.0873,0.07802,-0.195753093,0.204386883,1,1,1,1.81E-57,1,1,1
PTX3,0.19027,2.170082127,2.326675892,3.49439,3.28791,3.271834287,2.803824735,1,5.93E-05,7.50E-06,3.72E-85,2.09E-32,7.36E-60,5.55E-26
NLRP1,-0.31703,-0.270161918,0.85386204,3.73567,1.67836,-0.591037297,-0.745734076,1,1,1,5.77E-17,6.58E-05,1,1
TLR6,-0.39947,0.362980704,0.563887074,2.25157,0.39678,-0.433053332,0.019747746,0.422093282,0.638657627,0.500159268,2.54E-09,0.000334798,0.011536505,0.909820803
C3,0.52995,0.607474486,2.559394531,1.28391,1.29834,0.592811479,-0.319082037,0.27752147,0.086780453,2.73E-25,3.47E-42,8.32E-44,6.19E-08,0.002888747
C5,0.23129,0.330121531,-2.438625473,-1.25581,-0.20878,-2.064935992,-2.500349491,0.621637955,0.515660229,4.97E-12,2.64E-06,0.007796259,3.44E-58,7.35E-169
RAET1L,0.05121,4.469985465,4.117035314,2.45122,0.90844,1.546551072,0.690959634,1,2.40E-16,1.93E-11,8.78E-19,1,1,1
APOL1,-0.45136,3.629134996,4.127377934,0.62587,1.32308,0.893175463,-1.785105595,0.481075264,2.31E-49,1.72E-52,7.96E-08,1,1,9.45E-46
SERPING1,0.05844,4.008619136,3.507484458,0.42614,0.62148,2.931522282,-0.79139498,1,5.34E-16,1.78E-10,0.000106194,0.153101393,6.66E-08,1
PARP14,0.14286,3.110125557,2.794526597,2.93627,0.81871,2.428935516,-0.302125579,0.830613716,4.88E-18,1.59E-16,1.00E-129,2.63E-30,1,0.070483659
ZBP1,-0.05406,2.702455826,1.674032389,5.8186,-0.12712,2.374246106,0.495846705,1,1,1,1.64E-128,1,1,1
TRIM14,-0.11537,2.074511313,1.726807805,1.93646,0.08686,1.880413303,-0.403791596,0.844897871,2.07E-26,5.09E-20,4.07E-40,0.418393848,2.51E-36,0.039998972
C1R,-0.25039,1.372879821,1.701645441,2.1288,1.54381,1.129919865,-1.136108472,0.678386517,1.06E-05,3.92E-07,4.36E-37,2.01E-94,1,2.78E-17
CFB,-0.13714,2.075996337,2.629542261,0.81879,2.12274,1.070072273,-1.175418222,0.893244535,1.61E-10,7.64E-17,1.91E-31,5.36E-95,1,5.18E-15
C1S,-0.01146,1.774617434,2.290689517,1.69805,1.57847,0.249160532,-1.744779238,0.985547166,3.37E-09,5.99E-20,1.29E-34,1.99E-284,0.081477402,9.99E-62
NCF2,0.00949,1.608637054,2.38648768,1.52453,1.36749,0.840195007,0.59193226,1,1.46E-05,6.31E-15,4.89E-18,3.14E-12,0.006393706,0.061916047
RAET1E,0.62371,1.708363863,2.009890892,0.71736,1.44081,0.773175622,-0.751483647,0.424780726,3.72E-05,5.61E-07,0,3.13E-12,1,1
ULBP2,0.69894,1.731913368,3.304199047,0.27785,0.99234,0.460317813,-0.489891918,0.342284127,1.06E-05,5.70E-23,0.056454332,3.46E-07,0.060113138,0.102750861
CD55,0.42651,1.841791589,2.842606813,1.00162,1.60558,1.480870112,0.74007881,0.49655453,4.89E-09,4.81E-44,7.39E-27,2.52E-118,1.78E-70,5.30E-19
ARG2,0.3111,0.781425484,2.083993263,-0.22047,0.44424,0.64716777,0.458722668,0.680440681,0.230396839,1.50E-05,0.082262764,0.079303113,0.000973822,0.019749121
MICB,0.35484,0.655789545,2.555817518,-0.55208,-0.7253,-0.463382794,-0.460719261,0.583331936,0.234738884,5.62E-10,4.57E-11,2.39E-07,0.000118031,0.000227024
TREM1,0,0.017263753,3.238974567,0.53261,2.53196,0.828570348,-0.757075106,1,1,1,0.041665684,2.46E-08,1,1
ULBP1,0.77655,1.14032183,0.660450669,2.98715,3.17653,-0.703292781,-0.113113183,0.224998172,0.008116214,0.273413198,4.09E-43,4.78E-69,0.007350276,0.715943247
CLEC4E,0,-0.181382194,1.099059399,2.61555,2.5742,2.327174037,1.046083132,1,0.772286801,0.035641251,5.42E-09,6.38E-49,1.16E-29,0.000160235
PGLYRP2,0,-0.679666355,-0.34264114,3.12689,0.91173,0.510193544,0.102718047,1,1,1,3.13E-11,1,1,1
STYK1,-0.01598,0.129270679,1.159951797,0.75311,0.14078,1.023107615,0.731109342,1,1,1,7.57E-07,0.760403138,0.006487039,0.066365752
NCF1,0.47968,0.147040462,0,0.65558,0.25126,1.250907402,1.483913484,1,1,1,0,1,1,1
PRDM1,0.13235,1.133768276,1.163790688,3.25232,0.88784,1.971669029,1.755083784,0.882928307,0.045087786,0.019084174,9.13E-34,8.17E-11,4.51E-44,9.05E-36
CD300LB,-0.04191,0,0,0,0,2.235181769,2.030022695,1,1,1,0,1,1,1
FGA,-0.17649,-0.341706079,-0.601152174,0.156,-0.33633,0.478206926,-1.803998841,0.804129079,0.543331546,0.170828148,0,1,0.00606902,2.03E-18
HIST2H2BE,0.27298,0.658173554,0.635567659,0.18593,-0.48925,4.051727046,4.208241539,0.746197276,0.258105403,0.144922096,0.439750458,0.002335643,0,0
IFI44,0.19025,6.363657776,6.49275968,2.98002,1.22017,5.742658367,1.33435227,1,2.46E-44,4.95E-44,7.48E-102,1,5.61E-68,1
IFI44L,-0.33881,5.308826623,4.831616154,4.01439,0.52675,4.878291588,0.274175772,1,5.98E-25,5.60E-17,8.17E-191,1,1,1
PMAIP1,1.39346,3.138623396,3.064109752,2.55661,1.44129,1.689796064,1.507352899,0.000879838,1.58E-15,2.59E-15,5.10E-78,1.23E-39,3.52E-40,1.12E-29
RTP4,0,3.07873887,2.414836595,3.40023,0.07802,2.266013059,0.268040112,1,2.37E-06,1,2.00E-134,1,1,1
DCLK1,0.5083,2.655458505,3.815602652,-0.19428,0.80352,1.034143518,1.495520062,1,2.13E-08,3.04E-20,0,0.044824027,1,0.000325058
CYP1A1,-0.3309,0.024189855,0.128522975,5.89423,1.76853,4.380292087,5.020688695,1,1,1,2.92E-252,1.25E-05,1,1
BCL3,-0.19177,-0.698875607,-0.053660079,1.98246,-0.19992,2.567120893,2.758571834,0.811056224,0.227964979,0.939720104,7.23E-21,0.141733831,1.15E-117,5.35E-80
IDO1,0.05121,6.075101328,4.662040152,4.0615,0.1257,2.952290925,0.487070549,1,6.29E-39,2.21E-18,6.37E-139,1,8.06E-08,1
TNFAIP3,0.66019,1.665251249,2.311746475,5.22011,1.65568,5.164981983,4.784499815,0.206530939,0.025222134,0.000550615,1.14E-276,3.42E-83,0,0
APOL3,0.14159,4.453142103,3.819429246,2.79914,0.71428,2.040769106,0.105611075,1,1.48E-17,1.13E-10,3.19E-43,1,1,1
THEMIS2,-0.27587,3.128141137,3.652293432,2.4875,0.72734,5.106444543,0.291560546,1,4.68E-16,2.35E-17,4.75E-54,0.053095864,1.95E-33,1
RASGRP1,0.3806,1.321977446,1.402754026,2.01514,1.16847,1.809758765,1.578371157,0.659918069,0.001193746,0.000229417,4.10E-41,2.96E-09,2.70E-12,1.21E-09
BMP2,0.25981,0.71040803,2.10864302,2.18956,0.77268,2.013948316,1.424455802,1,0.175193322,4.03E-09,3.26E-52,0.000320601,1.04E-29,7.51E-13
SAA2,0.12364,1.761925033,2.827331104,1.80839,1.49475,1.44239279,0.08301551,1,1,2.29E-07,6.90E-14,0.000536851,2.00E-06,0.84528259
PLA2G4C,0.51984,1.368139415,1.962629638,2.18797,1.78553,1.502002741,1.299807025,0.463644653,0.000639186,1.35E-08,4.74E-16,1.25E-17,6.70E-16,4.26E-13
SEMA7A,0.27845,0.89182326,1.639464691,2.29178,1.67553,2.031427783,1.441632134,1,1,0.005403382,2.33E-65,2.84E-09,3.42E-08,6.86E-07
TNIP3,0.05844,1.465192634,3.680480613,1.16998,1.48904,-0.432235448,-0.643428291,1,1,2.09E-11,0,0.00056544,1,1
HRH1,0.01447,1.120390312,2.800747634,1.31492,1.27841,0.635382449,0.12593109,0.98753205,0.000570856,4.73E-29,3.02E-10,6.82E-18,0.000992153,0.546830204
OLR1,0,1.380644422,1.963444894,1.24801,2.19749,0.644627333,-0.473991802,1,0.037102024,7.98E-05,0,1.09E-21,0.036333054,0.200099049
EMR2,0.15045,0.764521968,2.133128441,0.25337,1.48591,0.805586031,0.062187481,1,0.24214515,3.31E-06,0,9.15E-10,1,1
CHST2,-0.28903,0.361627428,2.76469941,0.38281,0.56375,2.228402647,1.995898108,1,1,9.86E-10,0.438445179,0.089531858,4.32E-17,6.76E-12
APOL2,-0.15528,1.549677451,2.163166133,1.06968,0.29717,1.136469345,-0.610678532,0.819603889,0.001498654,1.63E-06,4.81E-22,1,3.09E-16,5.78E-06
BDKRB2,-0.91896,0.015247014,-0.130556748,2.53059,0.10883,2.07221625,2.111411592,0.014016579,0.97597239,0.809440859,4.26E-17,0.274534419,9.32E-72,7.94E-39
SAA4,0,0,0.444314041,2.16816,0.46213,-0.092376333,0.108764517,1,1,1,6.61E-09,1,1,1
FFAR2,-0.06913,0.478306313,0.630207202,2.17283,0.03768,0.276431995,-0.53347353,1,1,1,7.30E-06,1,1,1
AOC3,0.15681,-0.117994979,0.319537199,0.76005,-1.0198,2.567622178,2.861016586,0.876702644,0.85754065,0.56621571,0.003206011,0.000128688,2.54E-22,6.26E-29
CYP26B1,-0.16813,0.129161962,0.269511249,0.08508,-0.04785,2.264225138,1.870836462,0.802313216,0.867996282,0.747270763,0.869901179,0.644671034,1,1
SERPINC1,-0.04191,-0.233774241,0.076023656,0.03446,-0.95631,2.855287911,2.767079256,1,1,1,0,1,1.04E-09,2.25E-09
SERPINF2,-0.2993,-1.783359737,-2.245411701,0.40115,-0.72003,-0.778806123,0.33152027,0.717902926,0.012220077,0.000659646,0.317998678,0.00067451,1,1
NFKBIZ,0.3532,1.164689017,2.141450726,1.98666,0.47079,4.016429309,3.900616854,0.603037305,0.137123574,0.001886713,5.51E-34,5.79E-06,0,0
KDM6B,-0.352,0.72593369,1.675772144,1.7067,0.86143,3.546443462,3.652820805,0.5645357,0.013857396,1.19E-16,4.78E-45,2.76E-25,1.69E-267,3.30E-194
HDAC9,-0.11801,0.623799285,1.731353205,2.17541,0.34024,3.030888592,3.027598916,1,1,0.003844961,0,0.294445013,2.79E-18,2.41E-19
NFKBID,-1.14422,-0.635216479,-0.15984969,1.23385,-0.38667,4.020728027,4.51228234,0.07059777,0.257312083,0.756812295,6.21E-10,0.017876757,2.17E-66,8.25E-100
NUPR1,-0.78374,-1.652896157,-2.080382517,2.58877,1.12338,-0.858180268,-1.30818557,0.149097225,1,1,1.80E-08,1.76E-08,0.108383254,1
CMPK2,-0.58877,5.793211995,5.162002286,4.48857,-0.53268,6.25688936,1.132007174,0.457514946,3.29E-67,6.77E-46,3.65E-123,0.194009256,4.02E-93,1
BATF2,-0.19285,3.911801169,4.905933146,4.09742,0.79178,4.976123807,0.540793003,1,2.20E-27,2.75E-44,2.25E-136,0.005345796,9.24E-37,1
CH25H,0.64964,5.066406672,4.29474765,6.5685,0,1.761332845,1.736444871,1,7.22E-22,1.55E-12,0,1,1,1
IL8,1.39978,1.494183954,2.727678202,4.19457,2.37995,4.853547791,4.66073745,0.005173998,0.019166387,3.11E-07,7.23E-196,2.24E-234,0,0
ATF3,0.88252,3.152893524,2.918851008,4.87972,2.73197,3.512263056,3.835102652,0.132262902,1.75E-35,2.74E-31,1.03E-278,6.39E-59,0,0
PPP1R15A,-0.02849,2.65126327,2.156241654,3.84093,1.9833,4.859389232,4.763893986,0.970008509,1.24E-14,8.72E-10,6.09E-300,1.15E-57,0,0
ARRDC3,0.90256,0.966990303,1.530954445,3.80373,0.98564,3.804116748,3.88660357,0.018651654,0.218136629,0.035328496,2.78E-160,1,1,1
FOSB,0.59513,1.882278959,4.814221037,3.03512,1.11851,4.583029766,4.721284937,1,1,1,6.14E-60,0.001213668,6.43E-74,1.58E-98
SAMD9L,-0.52228,4.595417693,4.235162794,3.41177,1.5487,3.60022769,-0.174248237,1,9.08E-30,1.17E-39,2.63E-117,1.06E-15,1,0.53590512
APOL6,-0.33475,3.658188791,3.877539088,3.14341,1.37938,2.119224328,-0.971926799,0.591846721,4.39E-54,2.40E-67,4.69E-125,1.40E-20,1.55E-36,8.42E-07
TNFSF10,-0.18581,4.986969941,3.772630959,2.96364,-0.02485,4.565675935,-0.223444537,1,2.02E-32,3.32E-21,1.21E-109,1,1,1
PPM1K,-0.21169,3.52640376,3.864765928,2.10181,1.53392,3.216749435,0.626412117,1,5.22E-22,1.30E-27,1.78E-25,5.62E-10,1.44E-58,0.075759572
PARP10,-0.2843,3.928470581,4.1061349,2.05719,0.12857,4.223167686,0.336026163,0.760891365,4.49E-16,1.18E-22,7.32E-50,0.657996629,1.23E-63,0.476798258
UBA7,-0.25776,4.509701917,3.455855947,1.75325,-0.03556,4.556569432,0.007385422,1,9.50E-24,6.11E-12,1.37E-20,0.939367496,1,1
SP140L,0.02889,3.163214599,3.38183606,1.88597,0.32407,1.539475424,-1.223191533,0.979139033,5.41E-31,6.98E-38,4.82E-47,0.122842145,3.06E-11,2.00E-05
PLEKHA4,-0.06113,3.275673451,3.406171806,1.41245,0.29424,4.824548537,1.713582783,1,7.53E-08,6.41E-08,1.08E-23,0.464230609,1.02E-33,1
HCAR2,0.05121,3.948769746,4.804332598,-0.08916,0.53483,0.520204403,-1.640430609,1,9.67E-12,9.81E-17,0,1,0.239702845,1
ZBTB32,0.02781,2.283129977,4.696722947,0.7449,0,-0.333629314,-0.687197747,1,1,1.16E-15,0,1,1,1
KRT17,0.08034,1.662747606,4.719652669,1.26607,-0.6602,0.952443157,-0.074620069,1,1,3.98E-17,1.56E-18,1,1,1
SAMD9,0.58508,2.651792624,2.819611578,2.79473,0.29985,3.724360668,-0.275612115,0.417673766,0.000135229,6.05E-05,2.74E-60,0.070617389,1,0.324582955
HERC6,0.21695,2.813613916,2.65156941,1.95696,0.37487,2.03950698,-0.820253181,0.72268683,1.39E-36,6.06E-66,2.33E-37,0.002851229,5.94E-20,0.000383635
RUFY4,-0.04191,3.431384227,2.614916618,1.86932,1.00871,2.100670942,0.178625406,1,1.91E-08,1,0,1,1,1
PLAUR,1.01643,1.986679233,3.21365355,1.94356,1.21338,1.646719723,0.258509442,0.012038902,1.89E-09,7.75E-26,4.58E-39,3.70E-18,3.95E-46,0.042477305
PDCD1LG2,0,2.780581892,2.995723451,2.19624,1.72482,1.032439118,-0.128124478,1,1,1,0,1,1,1
TRANK1,-0.7893,2.932205405,3.102327323,3.26579,0.66725,3.101058825,1.394763199,0.129346044,4.09E-11,2.42E-12,1.92E-139,6.00E-07,3.58E-82,3.68E-21
HELZ2,-0.57515,2.41314931,3.355097991,3.1109,0.11631,4.176039555,0.963475876,1,5.98E-09,6.43E-33,2.44E-92,0.199652333,1,1
LRRN3,0.2171,3.368075712,2.314942638,3.01194,0.07802,1.968168787,0.656681672,1,1.21E-08,1,0,1,1,1
NT5C3,0.37224,2.615397792,1.834163078,2.73506,0.83518,2.495460268,0.388537316,0.539642729,2.42E-10,7.92E-06,3.29E-60,1.55E-16,1.48E-83,0.000267749
SP110,0.30842,2.549303496,2.298981719,2.74675,0.25928,3.621036207,0.225933073,0.696174241,2.98E-07,2.94E-06,1.99E-144,0.070055181,3.34E-56,0.522385611
LMO2,-0.20289,2.53397652,2.306957632,2.87173,0.09298,3.293102161,-0.46161988,1,1.36E-05,0.000175257,1.22E-14,1,7.27E-10,1
GBP1P1,0.05121,2.637843387,2.108295064,3.45886,0.72395,2.066590163,0,1,1,1,1.20E-12,1,1,1
GIMAP2,0.05121,2.728621919,2.081984141,2.36762,0.17337,2.258574398,-0.46161988,1,1,1,1.01E-19,1,1,1
ZNFX1,-0.05671,2.175697021,2.222373835,2.69677,0.2074,2.163305925,1.075716257,0.910427885,9.99E-12,1.50E-13,5.25E-168,0.017973272,4.32E-74,4.34E-55
PARP12,-0.06354,2.423747884,2.157725532,2.27989,0.5334,2.801422763,0.167637695,0.922135881,6.77E-13,3.64E-10,6.55E-118,5.20E-11,1.94E-59,0.319034955
UBE2L6,-0.17508,2.311826977,2.041049284,2.49231,0.63776,1.600140744,-1.458710452,0.75176466,3.42E-09,1.14E-06,5.62E-116,7.46E-09,1,8.66E-19
LOC100507463,0.19884,1.960177612,1.959341627,2.49487,-0.08324,2.533221975,1.205036212,1,0.007092181,0.006818511,1.14E-41,0.807675499,1.64E-10,1
OTUD1,0.15843,1.960067997,1.555857987,2.74092,0.83655,2.047319613,1.130013662,0.854751308,8.69E-05,0.001734282,1.70E-37,1.52E-06,2.39E-38,2.86E-10
TAP1,-0.39638,2.429195774,2.80823354,2.6838,0.30675,1.859802172,-0.408099797,0.469153089,5.11E-27,5.63E-41,1.47E-160,0.001805524,2.75E-30,0.009796444
C5orf56,-0.11114,2.449914648,2.0552962,2.50343,-0.04844,2.803028343,2.272456129,1,1.94E-05,1,3.14E-20,0.90775292,2.74E-17,1.12E-11
TMEM140,-0.49914,3.091890537,3.425849927,3.66266,1.11397,0.368130643,-0.800602024,0.392374505,6.40E-22,7.73E-21,3.34E-127,2.79E-06,0.007479738,7.09E-08
DDX60L,0.18312,3.106401488,2.799074207,3.68562,1.19911,2.809552419,-0.235669523,0.769097925,1.52E-08,5.57E-07,7.25E-140,1.44E-38,2.13E-68,0.293294683
SLC15A3,-0.0693,3.469330183,3.061025704,4.05656,0.65508,2.199848669,1.548300606,1,3.35E-09,1,1.89E-86,1,1,1
EPSTI1,0,3.778072571,3.444745858,4.12504,0.07802,3.625984525,0.693395128,1,1.19E-10,1,9.13E-150,1,4.04E-12,1
ETV7,0.02542,2.731257305,2.295337502,4.44068,0.67668,2.638954452,1.281391375,1,9.85E-06,1,9.01E-88,1,1,1
RASGRP3,-0.15359,3.518611561,3.907940794,3.3773,0.44423,2.34010359,0.317437315,1,2.52E-24,3.38E-37,1.39E-92,0.046150395,1.33E-20,0.224867794
SCN3A,0,3.019994773,3.016440837,4.31227,-0.27788,-1.242697869,-1.245967102,1,1,1,2.62E-20,1,1,1
USP18,-0.13021,2.693728414,2.296309193,3.81733,-0.9037,3.568067909,0.031527078,0.86140139,4.74E-10,5.07E-07,5.45E-148,2.29E-10,3.68E-47,0.926290011
PDZD2,0.04314,2.889633375,1.8089907,3.30751,-0.25339,2.693837898,1.848434843,1,1,1,1.87E-16,1,1,1
RGAG1,0.23979,2.705489632,1.196740629,3.77411,-0.06718,-0.812315069,0.166672839,1,1,1,1.68E-15,1,1,1
LGALS17A,0,4.324174353,2.476828498,0.99364,0.11831,1.741631134,0,1,8.41E-15,1,0,1,1,1
ATP4A,0.05121,3.217240371,2.432047456,0.73767,-0.06766,1.783424958,2.209938568,1,3.40E-07,1,0,1,1,1
RET,0.0692,2.867672202,2.574886919,1.54411,-1.05435,1.624304813,-1.079212334,1,2.45E-09,4.06E-07,0,0.003367235,1,1
SEMA3D,0.00902,3.076870527,2.818315612,1.36471,-0.08195,0.404325272,-0.192178667,1,1.54E-08,8.35E-07,0.001050683,1,1,1
TGM2,0.60414,2.198418323,2.61114076,0.78673,0.55442,2.140133176,-1.088121581,0.229618871,1.39E-13,9.16E-21,5.16E-12,1,2.01E-103,9.56E-18
ERAP2,0.3496,2.499411774,2.544224948,0.64537,0.52514,1.213849977,-0.304503321,0.655295765,1.11E-09,2.02E-09,1.09E-06,0.045398928,4.91E-05,0.301569699
PIK3AP1,0.27651,2.662460727,1.361406714,1.06514,0.25358,1.483366906,-0.287649286,0.754451242,4.89E-09,0.007473482,1.35E-12,0.193416236,0.000207254,0.448362749
TAP2,-0.36295,2.010550461,1.892734418,0.9905,-0.07383,1.668083391,-1.298446719,0.526330248,6.93E-12,2.42E-12,4.39E-15,0.570693531,1.98E-22,1.06E-08
BTN3A3,-0.29553,2.251357099,1.386202471,0.43354,0.37342,0.9633913,0.111623172,0.749124867,6.31E-13,1.60E-05,0.007897129,0.044764143,0.003119306,0.778369022
LAP3,0.27729,2.548324625,2.205003554,1.60231,-0.30104,2.040216494,-0.895449842,0.573554017,1.21E-50,4.65E-22,1.43E-81,0.003386466,1,3.95E-12
ACTN2,0.05121,2.729468587,1.487705942,2.96088,0.06845,2.294636813,0.908988069,1,1,1,8.58E-12,1,1,1
USP30-AS1,0.09219,2.612445794,1.374511315,2.31302,-0.41972,1.55890942,-0.059829791,1,1,1,0,1,1,1
PTGER4,0.17475,2.247917466,2.129001636,2.51472,-1.10331,1.310541581,0.873757319,0.86063275,9.86E-06,2.96E-06,6.41E-104,0.000137417,0.000347757,0.023895561
TDRD7,0.18667,2.138711458,1.779255249,2.11074,0.43108,1.959607423,0.038582444,0.746364893,3.74E-16,4.48E-15,3.78E-98,6.80E-09,1.03E-88,0.770789412
WARS,0.43024,2.052172218,2.168670403,1.65385,0.23057,0.145359717,-1.323169951,0.167466568,1.50E-10,2.75E-12,1.94E-66,1,1,6.00E-61
SIDT1,0.32397,2.012783055,0.726374051,1.73897,0.13869,1.557369485,-0.382882823,1,1.38E-06,0.165206408,0,0.588738675,1.94E-07,0.300298287
GMPR,-0.13574,2.353043417,1.191667247,1.57506,0.03932,3.766627172,0.673436766,1,5.38E-05,0.09803777,5.80E-14,0.929839735,2.56E-11,1
TMEM27,0.89577,2.452881223,0.18716439,0.84163,0.47704,-2.278425927,-1.936408191,0.196921928,1.16E-06,1,1.18E-08,0.259172615,8.17E-08,1.75E-07
MXD1,0.77034,2.215490662,3.582313623,1.7603,1.50995,2.73093487,2.681054429,0.144973395,8.33E-13,4.86E-37,2.81E-36,2.66E-28,1.78E-137,1.62E-94
RUNX2,0.7025,2.027614755,2.072049306,2.62751,2.18221,2.028520113,1.599289206,1,0.000115023,0.00023815,0,2.58E-23,1.68E-16,2.17E-10
CREB5,0.15464,1.870350199,2.186190111,2.64422,1.7889,3.519240662,3.735864631,1,2.37E-05,2.33E-07,4.25E-59,4.65E-20,5.90E-93,2.85E-132
STX11,0.69638,1.182892992,2.473572589,2.3252,1.11421,1.90915986,2.106132829,1,0.086078627,1.16E-07,1.46E-08,4.12E-05,1.48E-05,4.31E-07
TIPARP,0.47073,1.148683051,1.670243856,3.06645,2.36916,3.742346032,4.093472621,0.325304009,0.083398395,0.004125652,3.37E-205,7.53E-71,0,0
GADD45A,0.32647,1.112526034,1.100040919,2.223,1.97696,2.039615775,2.20576381,0.558623924,0.000125012,1.16E-08,2.07E-68,1,2.60E-68,5.12E-179
TRIM36,0.48367,1.436490884,1.879533296,1.37785,2.00923,1.038034171,0.982364118,1,0.006747587,4.11E-05,4.13E-09,2.72E-20,0.002744655,0.002364931
SLC16A6,0.67974,1.455745997,1.872546647,2.00753,2.45398,-0.073126494,-0.347860441,1,0.000555433,3.71E-07,0,1,0.844574404,0.340366961
DNAH17,-0.13226,1.080619341,1.916454516,2.83297,2.4792,3.330780003,3.242744651,0.888203474,0.052897416,1.93E-06,4.80E-15,9.85E-43,3.10E-94,1.44E-55
CREBRF,0.40363,0.840532701,1.18195376,1.8981,1.84134,3.652026642,3.816439317,0.572587133,0.079220462,0.002161777,1.27E-21,1.70E-23,1,1.50E-158
ZEB2,0.80943,1.58208392,1.779625479,2.90881,1.26185,2.522287259,2.248956484,0.258491218,0.034632454,0.010393988,5.22E-16,8.57E-17,2.52E-102,3.05E-62
JHDM1D,0.41484,1.379784592,2.354645849,2.33809,1.97888,3.188617502,2.602327807,0.588934699,0.026911844,1.81E-06,4.13E-30,4.57E-32,1.15E-86,6.45E-142
B3GNT5,0.4535,1.286585217,2.209554881,1.75833,1.19045,2.642626921,2.587877862,0.494638477,0.047727906,5.50E-05,0,2.46E-10,2.52E-153,4.40E-211
ZC3H12C,-0.00439,1.37880061,1.718060237,2.06733,1.35123,1.806173849,1.750208357,0.994742607,0.067646177,0.013060092,2.75E-47,1.81E-37,4.68E-60,4.95E-55
C6orf58,0.05844,0.683932887,2.815959713,2.18864,1.08081,0.564465472,1.49454256,1,1,3.07E-07,1.60E-10,1,1,1
KLF9,0.13615,0.297247061,1.899514218,2.2783,1.4291,1.21079442,1.160617918,0.890601152,0.665119829,0.000565598,0,4.14E-26,2.24E-08,2.26E-08
IGFBP1,-0.42562,0.887380828,3.094681209,0.31762,1.99295,1.173298556,-0.714157477,0.4774042,0.13583352,4.26E-16,0.11585937,1,1,3.46E-05
LOC100126784,0.16301,1.402292647,3.493718128,2.90017,1.63282,1.425188515,1.673657649,1,1,1.52E-08,8.95E-12,0.00016118,1,1
HBEGF,1.67241,1.016686404,3.371302493,2.55209,1.74975,1.824248851,1.595286859,0.003867481,0.053975043,3.82E-27,2.29E-71,2.29E-12,5.81E-23,9.74E-15
NAV3,0.69366,1.423301779,2.437908496,2.13546,1.42979,1.443646309,1.422111687,0.17793466,0.026035223,5.65E-06,1.06E-16,6.71E-34,1.25E-50,1.78E-42
SAMD4A,0.14567,1.171216502,2.220521647,1.75066,1.6546,1.05672671,1.176017232,0.83939445,3.54E-05,7.54E-23,1.27E-22,1.37E-53,1.56E-09,5.15E-16
ABCA1,0.00947,1.167353837,2.064316141,1.26154,2.03122,0.524772077,0.316959903,0.989564433,0.044138988,1.23E-05,0.001439567,2.46E-39,1.78E-08,0.00097176
STC2,0.3125,1.532741591,3.430095167,2.70528,3.9622,0.822042701,0.609248843,0.46147541,3.57E-07,1.81E-76,3.24E-160,0,4.32E-14,9.04E-15
ADM2,0.01923,1.028792951,2.494966195,1.9213,4.01568,0.389416367,0.507513454,1,0.121892701,5.46E-09,1.82E-25,1.17E-44,0.319828474,0.293633916
