log2FoldChange,padj
ATPAF1,0.2262700479,0.9071687109
TEX38,-0.0127306013,NaN
EFCAB14-AS1,-0.0127306013,NaN
EFCAB14,0.2840970188,0.8488220478
CYP4B1,-0.0744008271,0.9682763382
CYP4Z2P,-0.3269962684,NaN
CYP4A11,-0.6100423303,NaN
CYP4X1,-0.7617525028,NaN
CYP4Z1,-0.266123144,NaN
CYP4A22,-0.0247642211,NaN
LINC00853,-0.2289960061,NaN
PDZK1IP1,0.3636226597,0.8302078129
TAL1,-1.3350322449,0.2730129805
STIL,-0.704877657,NaN
CMPK1,-1.0167142111,0.3757537247
FOXE3,NaN,NaN
FOXD2-AS1,-0.9765006629,NaN
FOXD2,-0.5268917324,NaN
TRABD2B,0.4119496267,0.8161457503
SKINTL,-0.22870819,NaN
SLC5A9,0.9749754301,NaN
SPATA6,-0.7206739102,0.6649961938
AGBL4,-0.0777814876,NaN
BEND5,-1.9100727418,NaN
ELAVL4,-0.2602848135,NaN
DMRTA2,-0.1143314714,NaN
FAF1,-0.6419541366,0.5813991504
CDKN2C,-0.1871619857,0.9191977997
C1orf185,NaN,NaN
RNF11,-1.018978197,0.4215594773
TTC39A,-2.2599689067,NaN
EPS15,0.0379760761,0.9842198137
OSBPL9,0.9098552775,0.3268994582
NRD1,0.4413884593,0.6413427348
MIR761,NaN,NaN
RAB3B,0.5360178974,NaN
TXNDC12,1.270067217,0.0986333498
KTI12,NaN,NaN
BTF3L4,1.0081485729,0.242552277
ZFYVE9,-0.6926562571,0.6189545126
CC2D1B,-3.9053136093,0.0017109196
ORC1,-0.704877657,NaN
PRPF38A,-0.5091114127,0.6735474523
ZCCHC11,-3.1566549805,0.0184367535
GPX7,-0.7813018515,NaN
FAM159A,-0.7424336133,NaN
SELRC1,-2.6122110447,0.0562101235
ZYG11B,-0.2759032042,0.8496818696
ZYG11A,NaN,NaN
ECHDC2,-1.207733438,0.3672911646
SCP2,-0.4693869348,0.7474041443
PODN,-2.7224887485,0.0508441808
SLC1A7,-1.3633805383,NaN
CPT2,-1.1666805898,0.4026960491
C1orf123,-0.8425771612,0.5387994299
MAGOH,-0.4524717168,0.7064813409
LOC100507564,-0.0247642211,NaN
LRP8,-0.981003126,NaN
SLC25A3P1,NaN,NaN
DMRTB1,NaN,NaN
GLIS1,-0.3425823175,NaN
TMEM48,-0.3358115314,0.8239523857
YIPF1,1.7770768756,0.0269867322
DIO1,-0.1364887046,NaN
HSPB11,0.1974506346,0.8935275165
LRRC42,-2.2072063837,0.0698576058
LDLRAD1,-0.7399601991,NaN
TMEM59,0.5590583091,0.5415950064
TCEANC2,1.4983505884,0.2457489638
MIR4781,NaN,NaN
CDCP2,NaN,NaN
CYB5RL,-0.8782933535,NaN
MRPL37,-2.0815626368,0.048201468
SSBP3,0.8298458755,0.4877526708
ACOT11,-0.4726838218,NaN
FAM151A,-0.0247642211,NaN
MROH7,-0.4045545125,NaN
HEATR8-TTC4,NaN,NaN
TTC4,-0.3746201527,NaN
PARS2,-1.0025702856,NaN
TTC22,-0.1968058487,NaN
C1orf177,-0.1499772535,NaN
DHCR24,-0.7881989623,0.4325876619
TMEM61,-0.2432050812,NaN
BSND,NaN,NaN
PCSK9,2.4504312843,0.0624030256
USP24,-1.0125974408,0.4355715998
LOC100507634,2.0191116636,NaN
MIR4422,NaN,NaN
PPAP2B,-2.7259315198,0.0156757662
PRKAA2,-1.9050283454,NaN
C1orf168,-0.273653952,NaN
C8A,3.7449447082,NaN
C8B,-0.3735310702,NaN
DAB1,-0.2688318734,NaN
OMA1,0.2732727805,0.8728753021
TACSTD2,-0.4515615871,0.7883038728
MYSM1,-1.137186447,NaN
JUN,-3.5727803125,1.82E-05
LOC100131060,-0.3833344624,NaN
HSD52,NaN,NaN
FGGY,-2.1656526294,NaN
MIR4711,NaN,NaN
HOOK1,-1.7410195072,NaN
CYP2J2,1.8564577272,0.1878970819
C1orf87,-0.6732054437,NaN
NFIA,-1.0720468868,0.4735779632
MGC34796,-0.0871423128,NaN
TM2D1,-0.9248331171,0.4525721252
INADL,-1.4676854751,0.2783237189
L1TD1,-0.7533810005,NaN
KANK4,-1.1815757705,NaN
USP1,0.5268452206,0.6308680951
DOCK7,-1.6932075147,NaN
ANGPTL3,-0.0679534862,NaN
ATG4C,1.0834605944,0.4226885191
LINC00466,NaN,NaN
FOXD3,NaN,NaN
ALG6,1.2199196122,0.3697139419
ITGB3BP,1.5393187825,0.2504626082
EFCAB7,-1.3736782003,NaN
DLEU2L,-0.0472189909,NaN
PGM1,-0.6999828003,0.6145645265
ROR1,-1.2142319701,NaN
UBE2U,NaN,NaN
CACHD1,-0.4613513333,0.7471280045
MIR4794,NaN,NaN
RAVER2,-0.7391968105,0.6283827958
JAK1,0.1172654268,0.9372376631
MIR3671,-0.266123144,NaN
MIR101-1,-0.0679534862,NaN
AK4,-1.1251021244,NaN
DNAJC6,0.6177635942,NaN
LEPROT,-0.3234591141,0.798255484
LEPR,-2.6385550319,0.0572829282
PDE4B,2.2873174565,0.0255750538
SGIP1,-1.8644561682,0.0916884761
MIR3117,NaN,NaN
TCTEX1D1,-0.6109342326,0.7309615923
INSL5,-0.0127306013,NaN
WDR78,2.0329878907,0.0899920717
MIER1,2.8124817783,0.0001194477
SLC35D1,-0.008081448,NaN
C1orf141,-0.3143200331,NaN
IL23R,0.806823836,NaN
IL12RB2,1.8059674978,NaN
SERBP1,0.0899794524,0.9385872123
GADD45A,-2.4374405829,0.025201149
GNG12,-0.2298782738,0.8488220478
GNG12-AS1,-0.740872896,NaN
DIRAS3,-1.6831157816,NaN
WLS,-0.3384001181,0.8349744963
MIR1262,-0.0127306013,NaN
RPE65,NaN,NaN
DEPDC1,-0.1753091568,NaN
LRRC7,-0.0984150889,NaN
PIN1P1,-0.0984150889,NaN
LRRC40,-2.554418569,0.0623600884
SRSF11,-0.580945986,0.5628790813
ANKRD13C,-0.541344966,0.6879220241
HHLA3,-1.8669128224,0.1972072524
CTH,-1.8164925533,NaN
PTGER3,-1.0744402196,NaN
ZRANB2-AS1,-0.0679534862,NaN
ZRANB2,-0.8436315776,0.502878358
MIR186,-0.1209089974,NaN
ZRANB2-AS2,-0.1830589249,NaN
NEGR1,-1.8347453825,NaN
NEGR1-IT1,NaN,NaN
LRRIQ3,-0.0127306013,NaN
FPGT-TNNI3K,NaN,NaN
FPGT,-1.6448424219,NaN
TNNI3K,NaN,NaN
C1orf173,-0.870006481,NaN
CRYZ,-0.1949926563,0.9037395656
TYW3,-0.3477683671,0.8176511079
LHX8,-0.0441911372,NaN
SLC44A5,1.3714401032,NaN
ACADM,-0.3914577817,0.7932682934
RABGGTB,-0.9173592153,0.4938921156
SNORD45C,-0.3425823175,NaN
SNORD45A,-0.0777814876,NaN
SNORD45B,-0.4107845801,NaN
MSH4,-0.2883572604,NaN
ASB17,NaN,NaN
ST6GALNAC3,0.5482975702,0.7357527355
ST6GALNAC5,-1.5206422683,NaN
PIGK,-0.1565860414,0.9305798839
AK5,-0.641081802,NaN
ZZZ3,-0.8153299283,0.5320806107
USP33,-1.5625654225,0.1616017607
FAM73A,1.0624064275,0.3591759406
NEXN,2.0811689689,0.0510235945
FUBP1,-1.3139715581,0.3072457344
DNAJB4,-3.3005540423,0.0061218763
GIPC2,-0.0699945879,0.9744898384
MGC27382,-0.0362339798,NaN
PTGFR,-1.0558344942,NaN
IFI44L,4.2344731758,2.29E-07
IFI44,2.642506762,0.0050620478
ELTD1,-0.9076478365,0.4884449313
LPHN2,-1.9848956351,0.0500012934
MIR548AP,NaN,NaN
TTLL7,-1.3460911807,NaN
PRKACB,0.9372710698,0.4883097921
SAMD13,-0.702974076,NaN
UOX,-0.1593032806,NaN
DNASE2B,1.8424338107,0.1918680836
RPF1,-0.2897823436,0.8506239126
GNG5,3.277021086,2.05E-05
CTBS,1.7768255515,0.072764659
C1orf180,NaN,NaN
SSX2IP,-1.5453398628,NaN
LPAR3,-0.8196114302,NaN
MCOLN2,0.9642039858,0.5163463684
MCOLN3,-1.5003293844,NaN
WDR63,-0.585936012,NaN
MIR4423,NaN,NaN
SYDE2,-1.1795342936,NaN
C1orf52,-0.509332169,0.7117268671
BCL10,-0.8257983445,0.5428318326
LOC646626,-0.777269476,NaN
DDAH1,0.8544800177,0.5891182638
CYR61,0.4632542834,0.6743014445
ZNHIT6,0.7535470595,0.4866536326
COL24A1,-0.7541870085,NaN
ODF2L,-1.2260541981,0.2965799803
CLCA2,-0.1574192489,NaN
CLCA1,-0.0127306013,NaN
CLCA4,NaN,NaN
CLCA3P,3.7527957528,NaN
SH3GLB1,0.3526172562,0.8327470267
SEP15,-0.2485530424,0.8559110536
HS2ST1,-2.0123085403,0.1043308718
LOC339524,1.805762466,0.1736595718
LMO4,-0.4675908889,0.7527188181
LOC100505768,NaN,NaN
PKN2,-0.3413441022,NaN
GTF2B,1.9050017259,0.045934604
CCBL2,0.695194558,0.5381624022
RBMXL1,0.5738080144,0.6083696444
GBP3,3.327258348,0.0057605853
GBP1,2.917759124,0.0145783213
GBP2,1.4244740282,0.152625026
GBP7,-0.5219295129,NaN
GBP4,3.0001335001,0.0013264223
GBP5,4.0216087054,0.0003548341
GBP6,-0.3225558451,NaN
GBP1P1,3.3277241044,1.66E-05
LRRC8B,-0.1721745393,0.9083544023
FLJ27354,-0.6930431963,NaN
LRRC8C,-0.2094518972,0.8883116761
LRRC8D,0.1791986752,0.909616422
GEMIN8P4,0.7543464887,NaN
ZNF326,-0.5773706341,0.6802562933
BARHL2,NaN,NaN
ZNF644,-0.7304463287,0.611359989
HFM1,-0.4180372526,NaN
CDC7,-2.4451143175,0.0751036019
TGFBR3,-1.0411859569,0.4200658444
BRDT,-0.1593032806,NaN
EPHX4,-0.7519275712,NaN
BTBD8,-0.0777814876,NaN
KIAA1107,-0.6637409194,NaN
C1orf146,-0.1753091568,NaN
GLMN,-2.0921984201,NaN
RPAP2,1.8089537841,0.0486801616
GFI1,-1.440299164,NaN
EVI5,-3.0542348037,0.0227431028
RPL5,-1.162610435,0.1325608623
FAM69A,0.1300355821,0.9372376631
SNORD21,-0.688805536,NaN
SNORA66,-0.4258820278,NaN
MTF2,0.2494429547,0.8654172303
TMED5,1.0430514164,0.3661434006
CCDC18,-1.2972960904,NaN
LOC100131564,-1.8718916706,NaN
DR1,0.0172297256,0.9931418362
FNBP1L,-1.1239649942,0.3619477363
BCAR3,-1.4870883144,0.2706110586
LOC100129046,-0.1832503169,NaN
MIR760,NaN,NaN
DNTTIP2,-1.0223947069,0.4632274902
GCLM,-0.1502350709,0.9219303368
ABCA4,-0.8911477969,NaN
ARHGAP29,-2.8675872512,0.0118919277
ABCD3,-0.5354601869,0.6950239838
F3,0.7946699019,0.5386664672
SLC44A3,0.131416135,0.93877629
CNN3,-0.608923716,0.6419935837
LOC729970,-2.4403076258,0.0753245109
ALG14,-1.945437826,NaN
TMEM56,-1.1095711238,NaN
TMEM56-RWDD3,NaN,NaN
RWDD3,-0.1028230503,NaN
FLJ31662,NaN,NaN
PTBP2,-3.2684630799,0.0132239426
DPYD,0.2599920935,0.8656140619
DPYD-AS1,NaN,NaN
MIR137HG,-0.0232011249,NaN
MIR2682,NaN,NaN
MIR137,NaN,NaN
LOC729987,-0.0815314786,NaN
SNX7,0.3924330538,0.78304312
LPPR5,NaN,NaN
LOC100129620,NaN,NaN
LPPR4,-0.5094257284,NaN
PALMD,-2.2317508305,0.1134022155
MIR548AA1,NaN,NaN
MIR548D1,NaN,NaN
FRRS1,-1.0569100925,NaN
AGL,0.1478001224,0.933837576
SLC35A3,-2.7699480582,0.0432608857
HIAT1,1.3888148971,0.0744791753
SASS6,-0.9080699562,NaN
TRMT13,0.5980427522,0.6649961938
LRRC39,-0.5918158264,NaN
DBT,-0.4414326576,0.7945643023
RTCA,-0.6762382911,0.6330730354
MIR553,NaN,NaN
CDC14A,-2.8309101443,0.038239167
GPR88,-0.1143314714,NaN
LOC100128787,NaN,NaN
VCAM1,0.7705449494,0.4606322817
EXTL2,0.299837436,0.8496818696
SLC30A7,-0.1221547399,0.9457391377
DPH5,-2.6372823416,0.0537189996
S1PR1,-0.4097800302,0.6589485693
RNU6-6,NaN,NaN
OLFM3,NaN,NaN
DNAJA1P5,NaN,NaN
COL11A1,0.665417982,NaN
RNPC3,-1.9970691062,NaN
AMY2B,-1.0756720745,0.4536830784
ACTG1P4,-0.3946268952,NaN
AMY2A,NaN,NaN
AMY1A,NaN,NaN
AMY1C,NaN,NaN
AMY1B,NaN,NaN
LOC100129138,NaN,NaN
PRMT6,-0.8849997075,NaN
NTNG1,-0.8215244264,NaN
VAV3,1.04850262,0.4485816519
VAV3-AS1,-0.0871423128,NaN
SLC25A24,-1.1583220965,0.3525374311
NBPF4,NaN,NaN
NBPF6,NaN,NaN
FAM102B,-0.4141103234,0.783366312
HENMT1,-1.7316203575,NaN
PRPF38B,-1.5519192268,0.1567253873
FNDC7,-0.2203380965,NaN
STXBP3,-0.1261444187,0.933837576
AKNAD1,-0.3051243419,NaN
SRG7,NaN,NaN
GPSM2,-0.4420105868,NaN
CLCC1,-0.1010628985,NaN
WDR47,-0.409757546,0.7758787255
TAF13,-0.7346410174,NaN
TMEM167B,-0.1477159879,0.9269814952
SCARNA2,-0.3607050944,0.8464034392
C1orf194,3.2384446469,0.0026651508
KIAA1324,1.0883089665,NaN
SARS,-2.0386918474,0.0340718524
CELSR2,-0.9938585877,NaN
PSRC1,-1.9011831528,0.1883365255
MYBPHL,-0.3012097685,NaN
SORT1,-1.0652402694,0.4327571841
PSMA5,-0.9283188119,0.5246950027
SYPL2,-1.4275650069,NaN
ATXN7L2,-1.8331344302,NaN
CYB561D1,-2.2546543355,NaN
AMIGO1,-0.6803998125,NaN
GPR61,-0.0635296015,NaN
GNAI3,0.7758128483,0.4925370789
MIR197,-0.0777814876,NaN
GNAT2,-0.2929601715,NaN
AMPD2,-1.7266690207,0.1658563649
GSTM4,-0.4618380348,0.7953459549
GSTM2,-2.5272931642,0.0687302761
GSTM1,-1.5997830682,0.2751549026
GSTM5,0.0129242537,0.9952978594
GSTM3,-1.7087349392,0.1797904379
EPS8L3,1.2358097307,NaN
CSF1,-1.1376715869,0.3956930166
AHCYL1,-0.2727495556,0.8203821222
STRIP1,-2.4076528432,0.0390448506
ALX3,-1.383584144,NaN
UBL4B,-0.0736443519,NaN
SLC6A17,0.6677403296,NaN
KCNC4,-2.1558427946,NaN
LOC440600,-0.4150071134,NaN
RBM15,-0.6982720476,0.6290708959
SLC16A4,0.9908355976,0.3787640107
LAMTOR5,0.2742567631,0.819140101
PROK1,-0.0127306013,NaN
CYMP,-0.0472189909,NaN
KCNA10,-0.0127306013,NaN
KCNA2,-0.0558826286,NaN
KCNA3,-0.146788203,NaN
CD53,3.9143092388,6.48E-06
LRIF1,-0.678830493,0.6443180128
DRAM2,0.4796705255,0.7651799995
CEPT1,0.6972760681,0.5747362474
DENND2D,1.0119933372,0.3667255895
CHI3L2,4.3542773835,2.35E-06
CHIAP2,-0.9393037274,NaN
CHIA,-1.1798961969,NaN
PIFO,1.1252513975,0.3788391225
PGCP1,-0.0127306013,NaN
OVGP1,-2.2905312495,NaN
WDR77,-1.2257842569,0.3141058993
ATP5F1,-0.9187895767,0.3407789508
C1orf162,1.7741367599,0.1436695782
ADORA3,0.0523218025,NaN
LOC100129269,-0.2824657433,NaN
RAP1A,-1.1665832379,0.3571328204
FAM212B,-2.8904806078,0.0354342929
LOC100506343,-0.8334405173,NaN
DDX20,-0.9122035766,0.4880563877
KCND3,-0.2457309495,NaN
LOC643355,-0.3553762927,NaN
CTTNBP2NL,-0.5473221332,0.7171111693
MIR4256,-0.0127306013,NaN
WNT2B,-1.9297867346,NaN
ST7L,1.0089821821,0.4119641579
CAPZA1,2.2265219212,0.020387705
MOV10,1.0582382492,0.1727784972
RHOC,-2.070441541,0.0047888545
PPM1J,-0.9835410692,NaN
FAM19A3,-0.0362339798,NaN
SLC16A1,0.3690003974,0.8179513443
AKR7A2P1,-0.0362339798,NaN
LRIG2,-2.2464339939,NaN
LOC643441,-0.0624163246,NaN
MAGI3,0.6044804202,0.6156770425
PHTF1,-0.8594361785,0.5178223451
RSBN1,-0.9506104943,0.4446543237
PTPN22,0.1648234813,NaN
AP4B1-AS1,-0.4278320344,NaN
BCL2L15,-0.6160655395,NaN
AP4B1,-1.1508328637,0.380332545
DCLRE1B,-1.324711381,NaN
HIPK1,-2.2945650765,NaN
OLFML3,0.0743532566,0.9695961035
SYT6,-0.0577779504,NaN
TRIM33,-0.2649132732,0.8220704732
BCAS2,-0.6159453441,0.6568433906
DENND2C,0.6788761886,NaN
AMPD1,-0.3688861561,NaN
NRAS,-0.268206198,0.8638148738
CSDE1,-0.6137724782,0.4972150844
SIKE1,0.023898458,0.9890350887
SYCP1,-0.1143314714,NaN
TSHB,NaN,NaN
TSPAN2,-0.5233002725,0.7649905096
NGF,-1.8485501512,NaN
VANGL1,1.5861707881,0.2911899523
CASQ2,-2.0421124468,0.152625026
NHLH2,-0.3052449,NaN
SLC22A15,1.0786385251,0.426401512
MAB21L3,-0.0635296015,NaN
ATP1A1,-2.0431943461,0.0198739373
ATP1A1OS,-1.2605890523,NaN
CD58,-0.0390538921,0.9819749149
IGSF3,-1.7245385992,0.229093194
MIR320B1,NaN,NaN
CD2,-1.7868189992,0.1619927608
PTGFRN,-1.7074632567,0.1905969317
CD101,-1.1003507719,NaN
TTF2,-1.4535242533,NaN
MIR942,NaN,NaN
TRIM45,-1.7721290408,NaN
VTCN1,-0.401646171,NaN
MAN1A2,0.2592685994,0.8782743141
FAM46C,-1.8480930219,0.120490586
GDAP2,-0.6064250313,0.6672526124
WDR3,0.1430610776,0.9242543229
SPAG17,1.334921127,NaN
TBX15,-0.7578330416,NaN
WARS2,0.5369681749,0.7020303191
HAO2,-0.0472189909,NaN
HSD3B2,NaN,NaN
HSD3B1,-0.0247642211,NaN
HSD3BP4,-0.6610979606,NaN
LINC00622,-1.7240332407,NaN
ZNF697,-2.5054999316,0.05766941
PHGDH,-1.5416390438,NaN
HMGCS2,-0.0679534862,NaN
REG4,-0.0232011249,NaN
NBPF7,NaN,NaN
ADAM30,NaN,NaN
NOTCH2,-2.487433345,0.0486635556
FAM72B,-0.2567320472,NaN
HIST2H2BA,-0.2771365914,NaN
FCGR1B,2.6932196986,0.044951657
SRGAP2D,-0.3855566168,NaN
EMBP1,2.7990998778,NaN
ANKRD20A12P,-1.3197924982,NaN
LOC100130000,-0.2231863501,NaN
FLJ39739,-0.0127306013,NaN
LOC100286793,-0.3413403271,NaN
PPIAL4G,-0.0472189909,NaN
FAM72D,-0.3068698379,NaN
LINC00623,-0.0127306013,NaN
LOC728875,1.0349906159,NaN
PPIAL4C,NaN,NaN
PPIAL4B,NaN,NaN
PPIAL4A,NaN,NaN
PFN1P2,-0.6866020039,NaN
NBPF9,-2.172460548,0.123590988
LOC653513,-0.885054123,NaN
PDE4DIP,-2.4986587885,0.0430167183
SEC22B,1.5233615845,0.1392371625
NOTCH2NL,-4.0494581188,0.0009593598
NBPF10,-2.4546651332,0.0756061656
HFE2,NaN,NaN
TXNIP,-0.1975911771,0.8979787403
POLR3GL,-1.7992525622,0.1645481503
ANKRD34A,-0.781864741,NaN
LIX1L,0.421214029,0.7515413284
RBM8A,-1.0734072454,0.2616863298
GNRHR2,1.5248930451,NaN
PEX11B,1.2983921269,0.3547753269
ITGA10,-3.1846174442,0.0169968298
ANKRD35,-1.6675904571,NaN
PIAS3,-2.2775015499,0.0439485846
NUDT17,-1.2175008012,NaN
POLR3C,-2.8702911276,0.0215926463
RNF115,1.2739522078,0.2309668957
CD160,-1.5250326676,NaN
PDZK1,-0.4964839113,NaN
GPR89A,-2.0432396289,NaN
GPR89C,NaN,NaN
PDZK1P1,NaN,NaN
NBPF11,NaN,NaN
NBPF24,NaN,NaN
HYDIN2,-0.0232011249,NaN
LOC728989,-0.2816365628,NaN
PRKAB2,-1.1112537495,0.3639684486
PDIA3P,-0.9700673451,NaN
FMO5,-1.1146053112,NaN
CHD1L,-0.6031925237,0.6428269845
LINC00624,NaN,NaN
BCL9,0.4421977615,0.7549071577
ACP6,0.9960325794,0.4588246577
GJA5,-1.8091098959,0.1670970989
GJA8,-0.0441911372,NaN
GPR89B,-0.5955467516,NaN
MIR5087,NaN,NaN
NBPF14,-0.64007555,0.6635646295
PPIAL4F,NaN,NaN
PPIAL4D,NaN,NaN
NBPF15,-1.0295689982,NaN
NBPF16,-0.6367523602,NaN
PPIAL4E,NaN,NaN
LOC645166,0.4388925476,0.797798311
LOC388692,-2.4488751471,0.0742475589
FCGR1C,0.8908315568,NaN
FAM91A2,-0.2432939068,NaN
HIST2H2BF,-0.3182328896,NaN
FCGR1A,2.6003074941,0.0207555613
HIST2H3D,-0.0777814876,NaN
HIST2H4A,NaN,NaN
HIST2H4B,NaN,NaN
HIST2H3C,NaN,NaN
HIST2H3A,NaN,NaN
HIST2H2AA4,NaN,NaN
HIST2H2AA3,NaN,NaN
HIST2H2BC,2.5962798634,NaN
HIST2H2BE,3.7224538504,1.71E-06
HIST2H2AC,2.598100258,0.0438859291
HIST2H2AB,-0.1543455635,NaN
BOLA1,-0.5796296909,0.7177231005
SV2A,0.6653878879,NaN
SF3B4,2.2799116718,0.0050633508
MTMR11,0.3560775213,0.8488220478
OTUD7B,-3.2026584224,0.0096054724
VPS45,1.3834983742,0.2346426531
PLEKHO1,-2.7786808903,0.0175576729
ANP32E,0.061587075,0.9682763382
CA14,-0.4865975642,NaN
APH1A,-2.6666367751,NaN
C1orf54,-0.536806666,0.7331210177
C1orf51,-2.0397969859,NaN
MRPS21,0.7354932957,0.51226956
PRPF3,-0.6836108431,0.6152658251
RPRD2,-1.5033465613,0.2027476463
TARS2,-2.3427845322,0.0917157452
ECM1,-1.8258761974,0.0969290714
LINC00568,-0.2063239441,NaN
ADAMTSL4,-0.1447583384,0.9226920405
MIR4257,-0.0247642211,NaN
MCL1,-0.669825111,0.4288825982
ENSA,-1.0363012969,0.3195505523
GOLPH3L,0.5357267408,0.7048053942
HORMAD1,-0.1414789492,NaN
CTSS,2.0007088371,0.0222005052
CTSK,0.1868443048,0.8982386086
ARNT,-0.9201810924,0.3699071506
SETDB1,-1.6230803853,0.1436514462
CERS2,-0.1157115026,0.9366591955
ANXA9,-0.5048708748,NaN
FAM63A,-0.468641055,0.7873438528
PRUNE,-1.4645054124,0.2410301367
BNIPL,-1.3393058655,NaN
C1orf56,-0.7204032571,NaN
CDC42SE1,0.259279974,0.837472078
MLLT11,0.4239938921,0.7183072069
GABPB2,-1.6008280055,NaN
SEMA6C,-1.1186668023,NaN
TNFAIP8L2,-1.5276206844,NaN
TNFAIP8L2-SCNM1,NaN,NaN
LYSMD1,-1.6783720132,NaN
SCNM1,-0.1308493914,NaN
TMOD4,-0.574952067,NaN
VPS72,1.0275793568,0.2824484805
PIP5K1A,-0.8815212049,0.4914905588
PSMD4,-1.8401590925,0.0489077492
ZNF687,-2.7162043408,0.0469265573
PI4KB,-1.6985520629,0.0695742504
RFX5,-0.5756175031,0.6121000464
SELENBP1,-3.2010599198,0.0089764357
PSMB4,-1.4924336382,0.077782536
POGZ,-1.9441905905,0.0607821111
CGN,-1.833810256,0.105673614
TUFT1,-0.3346491674,0.8397573286
MIR554,-0.090371638,NaN
SNX27,-1.205331383,0.2765143
CELF3,-0.0472189909,NaN
RIIAD1,-0.5239329844,NaN
MRPL9,1.0177699496,0.2309225543
OAZ3,-0.7204852825,NaN
TDRKH,-1.712817994,NaN
LINGO4,-0.0127306013,NaN
RORC,-1.7185421409,NaN
C2CD4D,-0.0127306013,NaN
LOC100132111,-0.0247642211,NaN
THEM5,-0.2294131231,NaN
THEM4,-2.8258652729,0.0392423926
S100A10,0.147843904,0.8682316463
S100A11,3.9587287012,2.54E-11
TCHHL1,NaN,NaN
TCHH,-1.149024697,NaN
RPTN,-0.0247642211,NaN
HRNR,-0.1797948016,NaN
FLG,2.5828684846,0.0643013996
FLG2,0.3435614544,0.7559060518
CRNN,NaN,NaN
LCE5A,-0.0247642211,NaN
CRCT1,0.4210586515,0.7196535462
LCE3E,NaN,NaN
LCE3D,NaN,NaN
LCE3C,-0.0441911372,NaN
LCE3B,NaN,NaN
LCE3A,-0.0577779504,NaN
LCE2D,NaN,NaN
LCE2C,NaN,NaN
LCE2B,NaN,NaN
LCE2A,NaN,NaN
LCE4A,NaN,NaN
C1orf68,NaN,NaN
KPRP,2.6784836156,0.0539610014
LCE1F,NaN,NaN
LCE1E,NaN,NaN
LCE1D,NaN,NaN
LCE1C,2.7209444098,0.0486801616
LCE1B,NaN,NaN
LCE1A,NaN,NaN
LCE6A,NaN,NaN
SMCP,NaN,NaN
IVL,-0.0127306013,NaN
SPRR4,NaN,NaN
SPRR1A,NaN,NaN
SPRR3,NaN,NaN
SPRR1B,2.0222609268,NaN
SPRR2D,1.7354932071,NaN
SPRR2A,0.6502676105,NaN
SPRR2B,NaN,NaN
SPRR2E,3.488435939,0.006135185
SPRR2F,-0.0362339798,NaN
SPRR2C,-0.106267323,NaN
SPRR2G,NaN,NaN
LELP1,NaN,NaN
PRR9,NaN,NaN
LOR,2.7813114226,0.0469924878
PGLYRP3,NaN,NaN
PGLYRP4,-0.0777814876,NaN
S100A9,3.3914711704,0.0015955279
S100A12,4.9941138187,7.81E-06
S100A8,3.9754302036,0.0003977535
S100A7A,NaN,NaN
S100A7L2,NaN,NaN
S100A7,-0.9409649407,NaN
S100A6,0.4017887601,0.6783982803
S100A5,-0.0777814876,NaN
S100A4,0.5547244719,0.650083232
S100A3,-0.1083601422,0.9564731754
S100A2,-2.7372928458,0.0501450793
S100A16,-1.8170386432,0.0500012934
S100A14,-1.9212133306,0.0913300386
S100A13,-4.9039340398,1.28E-05
S100A1,-0.5776210406,NaN
CHTOP,0.5113317921,0.6618876352
SNAPIN,0.6851501923,0.5437925214
ILF2,-0.7730590808,0.6289807159
NPR1,-2.144837994,0.105673614
INTS3,-1.2695157126,0.190140713
SLC27A3,-0.8368818889,NaN
GATAD2B,0.2264254671,0.8510326988
DENND4B,-1.1713612929,0.303184055
CRTC2,-2.0069343348,0.0616528775
SLC39A1,-1.5041975638,0.0913300386
CREB3L4,-0.2452674902,0.8826247625
JTB,-0.3714039571,0.7470148398
RAB13,-0.5082318853,0.6175401016
RPS27,0.3699364078,0.6529510019
NUP210L,-0.7103898353,NaN
TPM3,0.0777313637,0.9439109049
MIR190B,NaN,NaN
C1orf189,2.4859791978,0.0702357603
C1orf43,-0.0979191608,0.9342297665
UBAP2L,0.1469139337,0.8939651445
HAX1,0.6338878805,0.4866082366
AQP10,-0.2432939068,NaN
ATP8B2,-3.3499797171,0.0051016049
IL6R,-0.7272792061,0.6132657299
SHE,-2.6759379787,0.0539610014
TDRD10,-2.2178747236,0.1149255506
UBE2Q1,-2.0419060432,0.0511208805
CHRNB2,-0.2525952502,NaN
ADAR,0.8788954787,0.2901252983
KCNN3,-2.3756022996,0.0855001993
PMVK,-1.4862956272,0.2767753992
PBXIP1,-2.4822253689,NaN
PYGO2,-3.5698795574,0.0054996048
SHC1,-0.7997600473,0.3728707822
CKS1B,-2.7407613625,0.0450264192
MIR4258,-0.1790699483,NaN
FLAD1,-2.7920143714,0.0190139428
LENEP,-0.2091543907,NaN
ZBTB7B,-0.9407853084,0.4883097921
DCST2,-0.8667096846,NaN
DCST1,-0.0127306013,NaN
LOC100505666,-0.1932693616,NaN
ADAM15,-3.9310601942,0.0015150676
EFNA4,-1.3070832263,NaN
EFNA3,-0.9701507428,NaN
EFNA1,-1.8988245376,0.0751036019
SLC50A1,-0.0522714027,0.9765921994
DPM3,-2.3382275161,0.0671559345
KRTCAP2,1.2431126979,0.1540034122
